alpha,topK_hubrid,topK_knncf,shrink_knncf,feature_weighting_knncf,topK_knncbf,shrink_knncbf,feature_weighting_knncbf,time,cutoff,PRECISION,PRECISION_RECALL_MIN_DEN,RECALL,MAP,MAP_MIN_DEN,MRR,NDCG,F1,HIT_RATE,ARHR_ALL_HITS,NOVELTY,AVERAGE_POPULARITY,DIVERSITY_MEAN_INTER_LIST,DIVERSITY_HERFINDAHL,COVERAGE_ITEM,COVERAGE_ITEM_HIT,ITEMS_IN_GT,COVERAGE_USER,COVERAGE_USER_HIT,USERS_IN_GT,DIVERSITY_GINI,SHANNON_ENTROPY,RATIO_DIVERSITY_HERFINDAHL,RATIO_DIVERSITY_GINI,RATIO_SHANNON_ENTROPY,RATIO_AVERAGE_POPULARITY,RATIO_NOVELTY
0.05,25,25,50,none,25,50,none,2024-11-28 12:45:44,10,0.028848478034798914,0.04323617864470589,0.03665361062369496,0.013427230125493564,0.020237917784596215,0.10010591230693007,0.0434161105607961,0.03228602026682456,0.2171786728126142,0.11526588271929712,0.003975885245918075,0.0513645689873242,0.9975646942929671,0.9997536656446755,0.7030770441488943,0.1058471708507122,0.9958290705910128,0.9956066711439445,0.21622453548242668,0.9956066711439445,0.23684043323572046,13.344659805297852,0.999811495378798,0.3893892717133922,0.9040180808377075,0.6791181998135628,0.2599175276348053
0.05,25,25,50,none,25,50,BM25,2024-11-28 12:46:27,10,0.029062087186264497,0.044000295340973626,0.037473716593901724,0.013513764584691652,0.020398279662196223,0.09831479421827714,0.04348887541520643,0.03273619185374536,0.21422749374631103,0.11449791811381606,0.004010467041655751,0.04610157060847309,0.9976172923652029,0.9997589252889156,0.5517169014453975,0.11405786836651714,0.9958290705910128,0.9956066711439445,0.21328632191627492,0.9956066711439445,0.18658301398912447,13.097939491271973,0.9998167553272769,0.30676106667565917,0.8873043070852433,0.609533307831911,0.26217826060201976
0.05,25,25,50,none,25,50,TF-IDF,2024-11-28 12:47:11,10,0.03276370892942597,0.04965953253145045,0.04235993338572565,0.015038617393799185,0.022692484740663262,0.10876032856906483,0.04860151732172651,0.03694891474770442,0.2400011242586919,0.12703133915717205,0.003993421047999473,0.04905978729935563,0.9974394749172817,0.9997411440417636,0.6070407387004538,0.12609847590566878,0.9958290705910128,0.9956066711439445,0.23894672039400044,0.9956066711439445,0.19636966304675,13.133877754211426,0.9997989730515867,0.32285129289674774,0.8897389018943419,0.6486454591334503,0.2610639043635526
0.05,25,25,50,none,25,100,none,2024-11-28 12:47:54,10,0.028542117541249298,0.04280466629815946,0.03642743258439073,0.013371204567345965,0.020173622983685895,0.09973246435274653,0.043141196769060426,0.032006257101641664,0.21448045195199417,0.11479241143228429,0.0039680239593750805,0.05248238691959797,0.9973814233466746,0.9997353390499484,0.6490648199155321,0.10178117048346055,0.9958290705910128,0.9956066711439445,0.21353816879337362,0.9956066711439445,0.21057829592466148,13.184921264648438,0.9997931677239876,0.3462117011377949,0.8931967837000787,0.6938974633575132,0.2594036078318176
0.05,25,25,50,none,25,100,BM25,2024-11-28 12:48:37,10,0.03155513083560707,0.047801148528402754,0.04074749771525939,0.014578233459455931,0.021968802103673805,0.10554872969921239,0.04697445907296559,0.03556696754735624,0.23137243879816746,0.12323479116671782,0.003998850976427335,0.048127679975507376,0.9974925044851729,0.9997464468760882,0.5871304530311376,0.12187508197581386,0.9958290705910128,0.9956066711439445,0.23035594358629952,0.9956066711439445,0.19301049783852625,13.122200012207031,0.9998042761926483,0.31732849057737617,0.8889478071741049,0.6363215740063098,0.26141887778076894
0.05,25,25,50,none,25,100,TF-IDF,2024-11-28 12:49:19,10,0.03563337924056324,0.053941519364239396,0.046073659722802494,0.016218520198958322,0.024453461506720016,0.11632970135317068,0.05246242626781932,0.04018650561157618,0.25860760561005086,0.13642373979300285,0.003978079679194529,0.05155994195831087,0.9972773052303463,0.9997249275329523,0.6491435166968338,0.13446656698407702,0.9958290705910128,0.9956066711439445,0.2574714573539288,0.9956066711439445,0.20127816965376563,13.138352394104004,0.9997827556047479,0.33092136685664425,0.8900420310431661,0.6817013294487291,0.26006098541502193
0.05,25,25,50,none,25,150,none,2024-11-28 12:50:02,10,0.028069928890640736,0.04231114126979652,0.036108704485058235,0.013247265084585281,0.020010052700440605,0.09916804856797601,0.04271872390776268,0.031585863204514085,0.2118665504932685,0.11393774060586073,0.003964293244563269,0.053184133735316705,0.9972080407766587,0.9997180012869649,0.6182419139057213,0.09926287348180793,0.9958290705910128,0.9956066711439445,0.2109357510633535,0.9956066711439445,0.19492195437418666,13.073593139648438,0.9997758289581189,0.3204711155851248,0.8856549924986421,0.7031756300707083,0.2591597179531567
0.05,25,25,50,none,25,150,BM25,2024-11-28 12:50:45,10,0.03327243598752177,0.0502685952164568,0.04283025612015519,0.01528857646096786,0.02306175530121504,0.1103587946697654,0.049324310828425054,0.03745115752464349,0.2429804097922932,0.12904044966778666,0.0039907041120203,0.049512594962983825,0.997395285085364,0.9997367251780815,0.6098213583064452,0.12727892762519347,0.9958290705910128,0.9956066711439445,0.24191291694649653,0.9956066711439445,0.1956658087452973,13.125093460083008,0.9997945539323,0.3216940862910571,0.8891438203534596,0.6546322693305894,0.2608862887537525
0.05,25,25,50,none,25,150,TF-IDF,2024-11-28 12:51:28,10,0.037145507181201715,0.05626448542634913,0.04806449277660565,0.01675862835085995,0.02530140841939593,0.11955695954051773,0.05437243839684498,0.04190540928243804,0.2678546333511341,0.1405903339628292,0.003968805725997418,0.05299538009422716,0.9971839053017861,0.9997155877645127,0.6665355053644972,0.1391621416017418,0.9958290705910128,0.9956066711439445,0.2666778598612044,0.9956066711439445,0.2032714456330466,13.134416580200195,0.999773415296059,0.33419851118243393,0.8897754040190405,0.700680018105647,0.25945471465082703
0.05,25,25,50,none,50,50,none,2024-11-28 12:52:12,10,0.03000646448748112,0.04496942194811692,0.03810241174882227,0.013989934984834116,0.02107076543335921,0.10355208864512155,0.04509518459884944,0.033573264696415805,0.22403665083335675,0.11961060720230511,0.003973363273432927,0.051904638792634426,0.9975701086075515,0.9997542070341296,0.7025261666797828,0.11007056478056715,0.9958290705910128,0.9956066711439445,0.22305238415043654,0.9956066711439445,0.23678189891129856,13.345257759094238,0.9998120367995683,0.3892930354515112,0.9040585885052934,0.6862587490518219,0.2597526574706637
