,topK,shrink,feature_weighting,normalize,result
0,49,4.603089532586397,none,True,0.00017813492977625632
1,39,9.852470302538261,BM25,False,0.01440383177382191
2,33,2.1446260783838635,none,True,0.00017813492977625632
3,12,22.076197633729038,none,False,0.00017813492977625632
4,36,15.955199971220253,none,True,0.00017813492977625632
5,28,16.562189672625966,TF-IDF,True,0.015450503321961906
6,5,16.033483776938667,TF-IDF,False,0.015262638582654543
7,50,18.15028450612383,TF-IDF,True,0.015115168264572702
8,8,12.735908606777432,TF-IDF,False,0.015622189039172785
9,5,16.55391674685188,BM25,False,0.01529454070271311
10,14,7.415590230953827,TF-IDF,False,0.015623514532896407
11,18,9.754430292167486,TF-IDF,False,0.015590108663061736
12,17,8.753954268523712,TF-IDF,False,0.015643571766801246
13,21,6.582729555433764,TF-IDF,False,0.015535298354925597
14,15,7.170281395567063,TF-IDF,False,0.01566201326956374
15,23,11.658224118037726,TF-IDF,False,0.01551809207519341
16,16,1.4350427653667257,BM25,False,0.01520154360600153
17,30,5.88299033850445,TF-IDF,False,0.01542584228270169
18,2,8.576719164408951,TF-IDF,False,0.013981957973622214
19,11,23.499745857516825,BM25,False,0.015293112368959342
20,21,3.472105070694697,TF-IDF,False,0.015535298354925597
21,15,6.902144786788933,TF-IDF,False,0.01566201326956374
22,18,11.273064345991596,TF-IDF,False,0.015590108663061736
23,25,5.958752643388185,TF-IDF,False,0.01552772475802927
24,10,8.449841406543818,TF-IDF,False,0.015735723289930666
25,10,4.05102525948376,TF-IDF,False,0.015735723289930666
26,10,3.576083927638698,TF-IDF,True,0.015735723289930666
27,9,3.512022228983518,TF-IDF,True,0.015683889629337477
28,6,4.5025472837232,none,True,0.00017813492977625632
29,44,1.1757388719417174,BM25,True,0.016919922810558832
30,45,2.2936091202138176,BM25,True,0.0169874829971152
31,45,1.039307461796016,BM25,True,0.016908587553888393
32,44,1.2570896589076432,BM25,True,0.016919922810558832
33,45,1.0362293732479326,BM25,True,0.016908587553888393
34,45,2.633147893231663,BM25,True,0.0169874829971152
35,41,2.622021329242768,BM25,True,0.01699632838238591
36,40,2.875149328268783,BM25,True,0.01697517990149313
37,39,2.5120152671789207,BM25,True,0.016934190150759067
38,40,5.372454635212353,BM25,True,0.01707903233473395
39,35,5.150450001351842,BM25,True,0.01707853070391957
40,34,4.950874730979721,BM25,True,0.01702703870076032
41,34,5.306931903258711,BM25,True,0.017052008260111388
42,35,4.901492245722951,BM25,True,0.01704572587692851
43,34,5.32888570265543,BM25,True,0.017052008260111388
44,36,5.831788813323739,BM25,True,0.01708412405889958
45,31,18.915710537826897,none,True,0.00017813492977625632
46,37,10.18063378948445,BM25,True,0.017384485507326013
47,38,13.946055602162097,BM25,True,0.01749252467246612
48,38,13.055407913327674,BM25,True,0.01749252467246612
49,37,14.38560623140324,none,True,0.00017813492977625632
50,42,14.331754479400828,BM25,True,0.017545531852071434
51,48,14.252627614914442,BM25,True,0.01758671471352904
52,50,14.58123124005434,BM25,True,0.01761566761005271
53,48,14.384541931084803,BM25,True,0.01758671471352904
54,48,14.435130952182323,BM25,True,0.01758671471352904
55,48,14.686331651205107,BM25,True,0.01758671471352904
56,48,17.77613333077419,BM25,True,0.017721559703893955
57,48,18.25313036525524,BM25,True,0.01776041380999925
58,48,17.955342126345677,BM25,True,0.017721559703893955
59,50,18.802007864946315,none,True,0.00017813492977625632
60,47,17.388455377215813,BM25,True,0.017710691798027773
61,47,20.51954793000047,BM25,True,0.017809626192487323
62,47,20.28568607842359,BM25,True,0.017809626192487323
63,50,20.501831162062395,BM25,True,0.017845204272294888
64,47,20.952175931752148,BM25,True,0.017809626192487323
65,42,20.564904188040934,BM25,True,0.017714370043110633
66,47,21.06623523252258,BM25,True,0.017839190415857683
67,46,20.645624786295585,BM25,True,0.017789301574503782
68,46,21.7881955743259,BM25,True,0.01782259889097316
69,46,21.861327773665728,BM25,True,0.01782259889097316
70,42,23.79523184587576,none,True,0.00017813492977625632
71,46,22.174469937149464,BM25,True,0.017844159874654066
72,50,22.580057649332993,BM25,True,0.017902801545251493
73,43,24.70131180287556,BM25,True,0.01789610208861256
74,50,24.928461511830395,BM25,True,0.01793226292859165
75,50,22.682973352864416,BM25,True,0.017902801545251493
76,50,24.82679498455487,BM25,True,0.01793226292859165
77,43,24.797035235563477,BM25,True,0.01789610208861256
78,50,24.75545926961327,BM25,True,0.01793226292859165
79,50,24.39488902075574,BM25,True,0.01793226292859165
80,43,24.98898550308131,BM25,True,0.01789610208861256
81,43,24.91453954231977,BM25,True,0.01789610208861256
82,50,24.920083597232896,BM25,True,0.01793226292859165
83,50,23.99316406589256,BM25,True,0.017914151656592985
84,50,23.393316841840505,BM25,True,0.017914151656592985
85,50,23.35493089087074,BM25,True,0.017914151656592985
86,49,23.7913369820029,BM25,True,0.017918785171290474
87,49,23.812795443688707,BM25,True,0.017918785171290474
88,49,24.06307207486162,BM25,True,0.017937562618151895
89,49,24.13677582297238,none,True,0.00017813492977625632
90,49,24.209078611355725,BM25,False,0.014111712382488593
91,49,23.255859797216985,BM25,True,0.017918785171290474
92,49,22.784947525061302,BM25,True,0.01792763284189518
93,49,22.958524772087063,BM25,True,0.01792763284189518
94,45,22.789187198847532,BM25,True,0.017835755558846506
95,49,23.107746618790355,BM25,True,0.017918785171290474
96,44,24.483917601589532,BM25,True,0.01787602314403465
97,45,23.82306101112863,BM25,True,0.017857575927937124
98,49,22.236837518962375,BM25,True,0.01792763284189518
99,26,22.501512424248567,BM25,True,0.017635574011913072
100,47,19.829901959231286,BM25,True,0.01777522963036102
101,49,21.688938688028383,BM25,True,0.01788662709382309
102,49,24.36334881209827,BM25,True,0.017937562618151895
103,46,24.540816506896682,BM25,True,0.017853589162763417
104,48,24.30080225211204,BM25,True,0.017918611485906028
105,49,21.334640422429672,BM25,True,0.01788662709382309
106,47,22.998342361324987,BM25,True,0.017845078578924527
107,48,23.580069230444902,BM25,False,0.014148638809359734
108,45,22.284307373861626,none,True,0.00017813492977625632
109,50,24.248998642296332,TF-IDF,True,0.015115168264572702
110,46,24.95996479348971,BM25,True,0.017853589162763417
111,49,23.676638318935765,BM25,True,0.017918785171290474
112,49,23.87240115770572,BM25,True,0.017918785171290474
113,48,22.986329006193632,BM25,True,0.017892963182355108
114,47,23.47338196761269,BM25,True,0.017848792246684533
115,50,24.487911376219547,BM25,True,0.01793226292859165
116,50,24.376875355562277,BM25,True,0.01793226292859165
117,50,24.468525147880886,BM25,True,0.01793226292859165
118,50,24.29897301342887,BM25,True,0.01793226292859165
119,50,24.425351137106276,BM25,True,0.01793226292859165
120,50,24.582993740174665,BM25,True,0.01793226292859165
121,50,24.597518613057225,BM25,True,0.01793226292859165
122,50,24.38203185199224,BM25,True,0.01793226292859165
123,48,24.938134521213197,BM25,True,0.017918611485906028
124,50,24.2294650985417,BM25,True,0.01793226292859165
125,47,24.9552459958171,BM25,True,0.017872180354903344
126,50,24.306846647168953,BM25,True,0.01793226292859165
127,48,23.335188703226304,BM25,False,0.014148638809359734
128,47,24.517754227677766,TF-IDF,True,0.015120824466237854
129,46,24.046674903880675,BM25,True,0.017853589162763417
130,31,23.478818844707966,BM25,True,0.017709735385746203
131,20,24.575909642561687,BM25,True,0.017565026893810738
132,50,24.574283290061032,BM25,True,0.01793226292859165
133,50,24.97820633870194,BM25,True,0.01793226292859165
134,2,23.892312845836052,BM25,True,0.015384004673051357
135,48,24.1317568778746,BM25,True,0.017918611485906028
136,50,23.219095163710957,none,True,0.00017813492977625632
137,48,24.572050258677027,BM25,True,0.017918611485906028
138,49,23.6821002602447,BM25,True,0.017918785171290474
139,50,24.995567459453945,BM25,True,0.01793226292859165
140,44,22.73338449228965,BM25,True,0.01782466140491373
141,50,24.412897238619045,BM25,True,0.01793226292859165
142,50,24.031007057193367,BM25,True,0.01793226292859165
143,48,24.4195554603664,BM25,True,0.017918611485906028
144,47,23.552550193550477,BM25,True,0.017848792246684533
145,49,24.265180184926027,BM25,True,0.017937562618151895
146,49,15.332929619213605,BM25,True,0.01763147869337413
147,46,23.94791332160731,BM25,True,0.01784696969281463
148,29,23.099713398475494,BM25,True,0.01772297318297671
149,48,24.920160875631776,BM25,True,0.017918611485906028
150,49,22.26577051849955,BM25,False,0.014111712382488593
151,50,24.425277919307895,BM25,True,0.01793226292859165
152,50,23.95310235416098,BM25,True,0.017914151656592985
153,49,24.524348100349627,BM25,True,0.017937562618151895
154,47,24.959416472546202,BM25,True,0.017872180354903344
