,topK,shrink,feature_weighting,asymmetric_alpha,result
0,16,27,none,0.9838746470798099,0.03958238277317092
1,16,42,none,1.6420970121958254,0.029091866953708544
2,70,28,none,1.0427941583336622,0.03630479332233616
3,30,30,BM25,1.1224800644299682,0.04079702795985566
4,82,22,TF-IDF,0.4423711675039055,0.04685049295246516
5,13,50,none,0.9417099640356295,0.04179748918235616
6,83,6,none,1.642116508784345,0.013571470967304556
7,14,47,TF-IDF,1.3589689089302557,0.013323350220280307
8,72,13,none,0.45175701079506614,0.04607848190633097
9,56,39,TF-IDF,0.44640396626097223,0.04751706657134122
10,52,38,TF-IDF,0.03742004028451118,0.04880852639076138
11,50,38,TF-IDF,0.0059777621626136285,0.04860138795171502
12,44,37,TF-IDF,0.007102370309422401,0.048821122428576835
13,41,34,TF-IDF,0.010189903446641068,0.04896718291454964
14,40,20,BM25,0.24996218112335844,0.042734759352082256
15,32,32,TF-IDF,0.7787410918039408,0.03978485208748259
16,98,33,TF-IDF,1.9674475922871466,0.005330913198237769
17,40,44,TF-IDF,0.22499559985813175,0.049683465697718206
18,30,44,BM25,0.6921273879522437,0.04225105922748318
19,64,1,TF-IDF,0.25613523730974147,0.04843840593292164
20,38,17,TF-IDF,0.6259106828584817,0.0447073490796062
21,42,36,TF-IDF,0.1853211386320909,0.0497153830980566
22,3,44,TF-IDF,0.2586976780035499,0.05360855954879895
23,2,44,TF-IDF,0.3214863738720953,0.05151847969282018
24,3,50,TF-IDF,0.23727124857110837,0.05369767679526272
25,3,49,BM25,0.5597668891411784,0.044112363128260806
26,3,45,TF-IDF,0.36928777765576193,0.05289301757777437
27,23,47,TF-IDF,0.8006108126869483,0.03962029138015867
28,8,41,TF-IDF,0.4004024825039032,0.05199693611700041
29,20,50,BM25,0.15898923903943496,0.043410693534047216
30,11,46,TF-IDF,0.9045632209143779,0.036736358792278996
31,7,40,TF-IDF,0.40898161115000764,0.05229684900463247
32,7,41,TF-IDF,0.55838834427989,0.04978298109054516
33,20,43,TF-IDF,0.3272566775223489,0.05048498873608361
34,3,27,TF-IDF,0.13521571499687124,0.0532710537918855
35,2,26,none,0.15771357873228187,0.05157986334247145
36,24,10,TF-IDF,1.1165222603334821,0.0215586810241413
37,17,23,none,0.12024753958580484,0.05104067482630888
38,13,28,TF-IDF,1.3901778988936702,0.011393498882534134
39,9,30,BM25,0.5157887643524114,0.04460528547151197
40,25,48,none,0.3149304340201973,0.047644506342421136
41,6,46,TF-IDF,0.3925808706976574,0.05286400206356172
42,16,45,TF-IDF,0.11202613017603794,0.05176415932994697
43,5,50,TF-IDF,0.3361373522702209,0.05356906444351443
44,12,50,TF-IDF,0.6806892645743833,0.04570059742482848
45,2,48,TF-IDF,0.4883747499439957,0.049132062706622376
46,16,35,TF-IDF,0.08924952987883211,0.05152579855978783
47,6,42,TF-IDF,0.3083351912117459,0.05354647636719834
48,10,41,TF-IDF,0.2621418560260651,0.05253542844825566
49,29,17,none,1.3028820463213486,0.02766293404451246
50,19,39,TF-IDF,0.07695057141315503,0.05123535780333829
51,6,43,TF-IDF,0.3427974804893328,0.05320575075509117
52,7,42,TF-IDF,0.2546569076580542,0.053301671423928346
53,13,48,TF-IDF,0.22725480604559825,0.05215154829737981
54,6,37,TF-IDF,0.27028354689141576,0.053598296399829735
55,87,42,TF-IDF,0.49316018697402086,0.04625584505244429
56,10,37,TF-IDF,0.2983817324707173,0.05229750502502516
57,6,31,BM25,0.6137358016781258,0.044985256276373065
58,14,50,TF-IDF,0.21742636607120067,0.052011466745565754
59,56,39,TF-IDF,1.7163025327852293,0.007038287715371087
60,36,46,TF-IDF,0.43436844992348334,0.04829370546201529
61,4,24,TF-IDF,0.053218118532713965,0.05315249930381345
62,9,34,TF-IDF,0.1734428061893164,0.05300986172696538
