,topK,shrink,feature_weighting,normalize_avg_row,similarity_from_distance_mode,normalize,result
0,21,14.961384176825334,TF-IDF,False,exp,True,0.019810079602753817
1,32,20.10850136354575,TF-IDF,True,exp,True,0.018405810416003948
2,16,13.12829421435724,none,False,lin,False,0.013643673692698066
3,32,12.42024482898847,BM25,True,log,False,0.01656548807421341
4,5,23.38081825076792,TF-IDF,False,log,True,0.02394549318421951
5,8,3.9327505003849366,BM25,True,exp,False,0.015424389952940818
6,46,13.679508678038758,none,True,exp,False,0.013457774340635916
7,41,14.83117800868121,TF-IDF,True,lin,False,0.012989108326660621
8,20,18.28162572295098,none,False,lin,False,0.013603419819513997
9,49,16.60001832927822,none,True,log,True,0.016782049752635586
10,2,24.782161042461567,TF-IDF,False,log,True,0.024073725560637815
11,2,23.734353970541676,TF-IDF,False,log,True,0.024073077668447074
12,2,24.402163869025916,TF-IDF,False,log,True,0.0240739449527024
13,11,24.523912681117192,TF-IDF,False,log,True,0.021921097472237482
14,11,6.613540065695329,TF-IDF,False,log,True,0.02192318055418407
15,3,20.638259847716167,TF-IDF,False,log,True,0.02426434755542345
16,15,20.25784836124655,BM25,False,log,True,0.016921511117692946
17,29,9.170217352538229,TF-IDF,False,log,True,0.018772237442546708
18,8,20.693183706862865,TF-IDF,False,log,True,0.022938202511672997
19,23,21.672701840986193,BM25,False,lin,True,0.016139329272752082
20,15,17.85465079934353,TF-IDF,False,log,True,0.020817844482106444
21,3,22.43813859438156,TF-IDF,False,log,True,0.024264059603338675
22,6,22.3746233464919,TF-IDF,False,log,True,0.023606596433781678
23,2,18.83112839905389,TF-IDF,False,log,True,0.024073077668447074
24,12,10.246873899850197,TF-IDF,False,log,True,0.021540755046931214
25,6,21.903417106960084,TF-IDF,False,log,True,0.023609199429214668
26,10,1.4645438452203052,TF-IDF,False,log,True,0.022309030634444924
27,5,24.984850803154973,TF-IDF,False,log,True,0.023947522560816947
28,16,16.488066368383187,BM25,False,lin,True,0.01687554962282855
29,19,22.576549865158384,none,False,exp,True,0.019956971731332356
30,39,20.96250765428959,TF-IDF,False,exp,True,0.017635723701290372
31,3,24.82911405617782,TF-IDF,False,log,True,0.024263803645929987
32,4,23.287699331304687,TF-IDF,False,log,True,0.024261450894570682
33,7,19.32887081814726,TF-IDF,False,log,True,0.023259350215552293
34,13,22.937649085560096,TF-IDF,True,log,True,0.021321262427645937
35,5,20.0401056003294,TF-IDF,False,log,False,0.011856192843796937
36,24,23.28650224812828,TF-IDF,False,log,True,0.019464134882241146
37,9,17.295543267970412,BM25,True,exp,False,0.015695323155370228
38,4,21.75787131529723,none,False,lin,True,0.024084992257287854
39,8,23.479832083307453,TF-IDF,True,log,False,0.012378247688156584
40,33,15.463952822555715,TF-IDF,False,exp,True,0.01828939093106335
41,4,21.617467394758783,none,False,lin,True,0.024085456180091096
42,3,19.378919837221282,none,False,lin,True,0.024263953335307367
43,4,19.08297059207258,none,False,lin,True,0.024086699401790437
44,2,11.856164909963194,none,False,lin,True,0.02402211929077823
45,9,23.795457048601907,none,False,lin,True,0.02238325028429515
46,13,19.655511482169672,none,True,log,False,0.013567406383578302
47,7,20.876475775148414,TF-IDF,False,lin,True,0.023249739243389494
48,4,24.993158129886584,none,False,log,True,0.02408149683892547
49,2,14.989152247758803,BM25,False,log,True,0.014801734705631111
50,18,24.01311508738848,TF-IDF,True,log,False,0.012813697515019706
51,4,18.663304184632626,none,False,lin,True,0.024086699401790437
52,10,17.207795473903964,none,False,lin,True,0.022004652711502693
53,6,22.526184503843538,none,False,lin,True,0.023583495134980526
54,3,21.107719113109237,none,False,lin,True,0.024264097311349753
55,3,21.311343768953474,none,False,lin,True,0.024264097311349753
56,7,20.800517762170198,none,False,lin,True,0.02310408005250735
57,2,20.07736894560058,none,False,lin,True,0.024022163854791348
58,28,17.84619580030357,none,False,lin,True,0.018663830338631615
59,11,21.703663920543093,none,False,lin,True,0.021689978216195845
60,44,5.939952860778604,none,False,lin,True,0.017078791231996283
61,4,23.197193219966753,TF-IDF,False,log,True,0.024261687426640314
62,3,24.157618223786855,TF-IDF,False,log,True,0.02426380364592999
63,6,24.25036316032419,TF-IDF,False,lin,True,0.02360341753417916
64,2,21.244181023782073,BM25,False,log,True,0.014789814403455113
65,9,22.53921585535311,TF-IDF,False,exp,True,0.02250970467085661
66,6,22.19723348752756,TF-IDF,False,log,True,0.023608879482453805
67,3,24.287895321557883,none,False,log,True,0.024257435562721863
68,7,20.29370796545312,TF-IDF,False,lin,True,0.023249739243389494
69,5,19.576644618943874,TF-IDF,False,log,True,0.023945150384118586
70,37,14.008490474226948,none,True,log,False,0.013549609345005518
71,3,23.194903050080583,TF-IDF,False,log,True,0.02426402303799458
72,3,22.892475550357087,TF-IDF,False,log,True,0.024263991043318493
73,3,21.383984155669804,TF-IDF,False,log,True,0.024264278995403264
74,8,21.27214341924546,TF-IDF,False,log,True,0.022938229935681072
75,5,22.162459731361555,TF-IDF,False,log,True,0.02394867779715705
76,3,18.296483715158352,TF-IDF,False,exp,True,0.024251358859599576
77,6,20.37012472978998,BM25,False,log,True,0.018016170109293878
78,8,23.101434118094122,TF-IDF,False,lin,True,0.022933667266337828
79,10,20.85265597643732,TF-IDF,False,log,True,0.022290415446297944
80,12,19.503789978156743,none,False,log,True,0.021457817990514574
81,3,23.673226504570053,TF-IDF,False,log,True,0.024264059603338675
82,2,22.866321829689547,TF-IDF,False,log,True,0.024074013512722585
83,50,23.673082679485027,TF-IDF,False,log,True,0.016858055391011612
84,5,21.48838081885459,TF-IDF,False,log,True,0.02394582227231639
85,3,22.187453737935584,TF-IDF,False,log,True,0.024264278995403264
86,3,22.152630998744442,TF-IDF,True,log,True,0.02424075719514511
87,5,23.48237628991449,TF-IDF,False,log,False,0.011856160849120851
88,7,22.64984579246604,TF-IDF,False,log,True,0.02326025406515172
89,3,21.862385377430616,TF-IDF,False,log,True,0.02426434755542345
90,4,21.84365127149774,TF-IDF,False,log,True,0.024262115926766463
91,2,21.223851149022483,TF-IDF,False,log,True,0.024074013512722585
92,3,20.497237827596685,TF-IDF,False,log,True,0.02426431099007935
93,6,20.467275667118805,TF-IDF,False,log,True,0.02360910344518641
94,5,19.832474815712406,TF-IDF,False,log,True,0.023944954988061064
95,2,18.74247444024327,TF-IDF,False,log,True,0.024074013512722585
96,4,22.00902388765049,TF-IDF,False,log,True,0.02426127949452022
97,9,8.1134884804023,TF-IDF,False,log,True,0.02253778914045803
98,7,1.048141941804932,TF-IDF,False,exp,True,0.02326611023354244
99,21,20.75296815517809,TF-IDF,True,log,False,0.012821589916009877
100,3,24.660415363318116,BM25,False,log,True,0.016736768144638137
101,3,23.029283848715433,TF-IDF,False,log,True,0.024263991043318493
102,4,22.56696455409198,TF-IDF,False,log,True,0.02426204736674628
103,2,23.759566250598446,TF-IDF,False,log,True,0.024073077668447074
104,6,21.361214355473596,TF-IDF,False,log,True,0.023609343405257055
105,3,22.222223535038136,TF-IDF,False,log,True,0.024264059603338675
106,5,11.233875184949762,TF-IDF,False,log,True,0.023944788158678617
107,4,21.821523250258213,TF-IDF,False,log,True,0.024261759414661507
108,33,19.927313219982867,TF-IDF,False,log,True,0.01831921796784443
109,8,20.54205331191929,TF-IDF,False,log,True,0.022938298495701254
110,2,23.391610409910538,TF-IDF,False,lin,True,0.02407136481060948
111,3,22.454865872985128,TF-IDF,False,log,True,0.02426402303799458
112,4,21.074632536575223,TF-IDF,False,log,True,0.02426209878676142
113,3,22.248926388744273,TF-IDF,False,log,True,0.024264059603338675
114,5,23.963491551640566,TF-IDF,False,log,True,0.023949030881260998
115,2,21.51283071429906,TF-IDF,False,exp,True,0.0240790469608711
116,6,22.908516314722867,none,False,log,True,0.02359862176076715
117,3,2.436264820984695,BM25,False,log,True,0.017060509702614364
118,7,22.313652204725738,TF-IDF,False,lin,True,0.023249739243389494
119,4,21.724478923136598,TF-IDF,True,log,False,0.011672934195178918
120,5,24.393984717571097,none,False,log,True,0.02395365868262334
121,3,22.41941752442637,TF-IDF,False,log,True,0.024265142851657585
122,2,21.064782386519738,TF-IDF,False,log,True,0.024073077668447074
123,3,22.10960707809001,TF-IDF,False,log,True,0.02426437955009953
124,6,22.24419805567896,TF-IDF,False,log,True,0.023609487381299442
125,25,20.656737716057492,TF-IDF,False,log,True,0.01931481801428222
126,4,19.124120144637665,TF-IDF,False,log,True,0.02426204736674628
127,3,20.012121251244505,TF-IDF,False,lin,True,0.024255627863523054
128,5,21.83351119458537,TF-IDF,False,log,True,0.02394595596435575
129,2,22.700848926068733,none,False,log,True,0.02401763775079219
130,7,21.40253737205361,TF-IDF,False,log,True,0.02325977414501043
131,3,23.537963854279553,TF-IDF,False,log,True,0.024264846900903792
132,3,23.779209529079708,TF-IDF,False,log,True,0.02426434755542345
133,4,23.529314989853276,TF-IDF,False,log,True,0.024261151515815874
134,5,23.83610101966663,TF-IDF,False,log,True,0.023947865360917867
135,3,24.69974234798775,TF-IDF,False,log,True,0.024263127187064176
136,2,24.14406639926193,TF-IDF,False,lin,True,0.02407146079463774
137,5,23.155660955327463,TF-IDF,False,log,True,0.023945544604234648
138,6,24.97771256042631,none,False,exp,True,0.023571381722081033
139,2,22.705586664374692,TF-IDF,True,log,True,0.024061849822474893
140,4,21.96818630057533,BM25,False,log,False,0.013834657912923822
141,3,22.268904532239755,TF-IDF,False,log,True,0.024264923459592993
142,3,21.051647141700073,TF-IDF,False,log,True,0.02426434755542345
143,4,20.892535404854673,TF-IDF,False,log,True,0.024261636006625176
144,47,21.54366139625942,TF-IDF,False,log,True,0.01698257295700287
145,3,20.155902353856085,TF-IDF,False,log,True,0.02426434755542345
146,2,20.270273149630203,TF-IDF,False,log,True,0.024073077668447074
147,5,19.49092669032712,TF-IDF,False,lin,True,0.023941341874997368
148,6,20.39743179460796,TF-IDF,False,log,True,0.02360889547979185
149,4,21.013108532144088,none,False,log,True,0.02408703306055533
150,3,15.952160546757451,TF-IDF,False,log,True,0.02426221533879573
151,3,23.362962353172946,TF-IDF,False,log,True,0.024264231003389137
152,2,21.37992574174262,TF-IDF,False,log,True,0.024073077668447074
153,4,23.08001735103797,TF-IDF,False,log,True,0.024262019942738206
154,3,22.657541013068965,TF-IDF,False,log,True,0.024264059603338675
155,2,21.658555754641686,TF-IDF,False,log,True,0.024073077668447074
156,5,22.006200739922047,TF-IDF,False,log,True,0.02394590454434061
157,3,20.707944640817157,TF-IDF,False,lin,True,0.024255490743482686
158,6,19.77275473260338,TF-IDF,False,log,True,0.02360927941590488
159,4,23.24038446639842,TF-IDF,False,log,True,0.02426204736674628
160,2,22.371975854524297,TF-IDF,False,log,True,0.02407392209936234
161,3,23.443418538821426,TF-IDF,False,log,True,0.024263991043318493
162,4,23.808566236488584,TF-IDF,False,log,True,0.024261944526716
