topK,shrink,feature_weighting,normalize,tversky_alpha,tversky_beta,iteration,RECALL,MAP
7,20.313201417217225,TF-IDF,False,0.3691069118125733,2.145377446930075,0,0.04211992491998874,0.04211992491998874
4,28.101187900121026,TF-IDF,False,0.15195064865896224,0.48109474639477956,1,0.040162573422107835,0.040162573422107835
2,20.84904335116114,BM25,True,0.4633873741123786,1.3528713698821142,2,0.03758990869488077,0.03758990869488077
5,22.72710020173113,BM25,True,0.13446085489602516,0.7296938122598308,3,0.04023992219701987,0.04023992219701987
6,23.094123168064794,TF-IDF,True,0.11089522445742697,1.0380267639056044,4,0.04163416460527838,0.04163416460527838
26,7.90358831018323,TF-IDF,True,0.18983825459239215,0.629575066587995,5,0.037714381964927525,0.037714381964927525
13,9.732889187674344,BM25,True,0.4748635768673486,1.3333903697172635,6,0.03692027696742292,0.03692027696742292
15,24.821551725508048,TF-IDF,False,0.20384391560007026,1.6999479319092377,7,0.04032094404974748,0.04032094404974748
22,26.728875698622847,BM25,True,0.456721603766947,0.8443537257745978,8,0.03693956879711816,0.03693956879711816
7,11.908762294841031,TF-IDF,False,0.19294994134643276,0.6829260047046485,9,0.04149206191418269,0.04149206191418269
11,16.145277443844797,TF-IDF,False,0.3565520135638959,2.357241266445957,10,0.04146431828622342,0.04146431828622342
9,17.63488807000193,TF-IDF,False,0.32136823782679325,2.3033624264955272,11,0.04171513686751125,0.04171513686751125
10,16.762857076038834,TF-IDF,False,0.3260183112939505,2.3886974255273126,12,0.041499792396152965,0.041499792396152965
20,19.22800357199752,TF-IDF,False,0.3840106463311465,1.9793750283847624,13,0.040008821472863124,0.040008821472863124
18,13.170040127398746,TF-IDF,False,0.2761085968186012,2.0741112993176074,14,0.04033299454008493,0.04033299454008493
10,15.370350343569525,TF-IDF,False,0.26858629917999166,1.830428152961657,15,0.04144985025924417,0.04144985025924417
9,19.533819163865154,TF-IDF,False,0.3990474770457506,2.1582110265938925,16,0.04162530706659914,0.04162530706659914
29,29.91665120761414,TF-IDF,False,0.4156070226892264,1.5729537741892097,17,0.03828002016980529,0.03828002016980529
14,13.21544684457843,BM25,False,0.3122396042253136,2.197600163018376,18,0.03755212975398044,0.03755212975398044
2,18.710280053481814,TF-IDF,False,0.24103388450337654,1.856302666494857,19,0.04148471913972087,0.04148471913972087
17,21.528488960568655,TF-IDF,False,0.34467291038168213,1.5703417871165686,20,0.04005220526677967,0.04005220526677967
7,23.725278023227254,TF-IDF,True,0.36389940001947635,1.0799460812102544,21,0.04130139885770417,0.04130139885770417
6,5.005827112393941,TF-IDF,True,0.10129370263415999,1.1013695375812318,22,0.04213750700465588,0.04213750700465588
12,6.856787484216364,TF-IDF,True,0.42800048241270916,1.1550652044850394,23,0.04052041618146752,0.04052041618146752
9,5.3392773321632685,TF-IDF,True,0.2824196476763585,2.2693775335871162,24,0.04166163435845754,0.04166163435845754
4,10.343414923184461,TF-IDF,False,0.2414570297953997,1.9339412273223047,25,0.042794984552559125,0.042794984552559125
4,9.490080218346094,BM25,True,0.24105776425181552,1.9986540282329375,26,0.038365553630541525,0.038365553630541525
2,5.42576139733535,TF-IDF,False,0.16277310359309705,1.542159924142222,27,0.04126733356866129,0.04126733356866129
7,9.691178267414184,TF-IDF,True,0.24595362245092567,1.7966391137306337,28,0.0420254606618875,0.0420254606618875
5,11.402617061202175,TF-IDF,False,0.10330526944520607,1.1869233029402535,29,0.04262747236794908,0.04262747236794908
4,11.55973277229154,TF-IDF,False,0.10283948322404823,1.2274265633018933,30,0.04276061044997794,0.04276061044997794
5,12.801388956441386,TF-IDF,False,0.10160145217841651,0.9226822893961952,31,0.04241161959401446,0.04241161959401446
4,14.273013893936586,TF-IDF,False,0.13576790900833713,0.911792185530222,32,0.04254042977827932,0.04254042977827932
3,14.63061061266532,TF-IDF,False,0.15426393638640218,1.266784868208164,33,0.04253318167658117,0.04253318167658117
4,11.084364896156503,TF-IDF,False,0.13131185935049422,0.8896737234986996,34,0.04260106768336036,0.04260106768336036
4,11.42163462236365,BM25,False,0.17322393567073188,0.5019788887387022,35,0.038979157114859726,0.038979157114859726
2,11.181058099659564,TF-IDF,False,0.12527775990246998,1.2395830100584333,36,0.041537578099393284,0.041537578099393284
6,8.164883534012619,TF-IDF,False,0.21126574290550693,1.4670276016815955,37,0.042342848847718204,0.042342848847718204
8,10.665859636063455,BM25,False,0.13799514632615698,0.9493522753085576,38,0.03842559194145293,0.03842559194145293
5,7.240344645764939,TF-IDF,False,0.1214497639988347,1.328947496081177,39,0.042606342308760474,0.042606342308760474
24,7.879207784688128,TF-IDF,False,0.4994526420476707,1.4099891842747514,40,0.03904574926053661,0.03904574926053661
5,8.472432975740345,TF-IDF,False,0.1159533644830464,1.2223150531779474,41,0.04264474676613458,0.04264474676613458
5,7.4347147391349075,TF-IDF,False,0.11779773903114645,1.2085657269553831,42,0.04260974038473949,0.04260974038473949
6,8.710870302166573,TF-IDF,False,0.1731875668458126,1.178937496429057,43,0.042298702036409626,0.042298702036409626
3,6.621683717812289,TF-IDF,False,0.14639689312262866,1.0111795228758447,44,0.0426116417294083,0.0426116417294083
3,6.39427426955716,TF-IDF,False,0.14855477158605304,0.7871113585428946,45,0.042502459237738446,0.042502459237738446
8,9.16930828184122,BM25,False,0.20871444991279908,1.0049853637208441,46,0.03813753089825837,0.03813753089825837
3,10.375846553430865,TF-IDF,False,0.18257678551706336,1.6694306873800582,47,0.042610246433201986,0.042610246433201986
11,11.965227990067818,TF-IDF,False,0.15221344038260468,1.3679233374655457,48,0.04110625124257872,0.04110625124257872
7,8.636982113021206,TF-IDF,False,0.22627659296702998,1.0369878305898679,49,0.041872105436604544,0.041872105436604544
2,6.519831102172253,TF-IDF,False,0.11408001215475093,1.2954657695196994,50,0.041260809037370366,0.041260809037370366
3,10.2844763343166,TF-IDF,False,0.1903463812705098,1.7016316283320707,51,0.04262639602879149,0.04262639602879149
3,12.397668134720272,TF-IDF,False,0.19712207876136661,1.700169899830557,52,0.042654771935565064,0.042654771935565064
5,12.419221651877818,TF-IDF,False,0.19688644355283647,1.7137017207692378,53,0.04262685812204229,0.04262685812204229
8,12.550230676770413,TF-IDF,False,0.2642639752643509,1.934782233366378,54,0.041884540253279735,0.041884540253279735
5,14.004950812732844,TF-IDF,False,0.22320393834231061,1.6579295500264961,55,0.042642544497324145,0.042642544497324145
6,14.571062404061264,TF-IDF,False,0.22502801164368957,1.4519012872808155,56,0.04234057332022196,0.04234057332022196
30,13.646704989673072,TF-IDF,False,0.30299401538062287,1.627903219093373,57,0.0389828099056547,0.0389828099056547
9,15.711895469834658,BM25,False,0.2601656200840576,1.764498594806991,58,0.038413273211618776,0.038413273211618776
