topK,shrink,feature_weighting,normalize,tversky_alpha,tversky_beta,iteration,RECALL,MAP
9,24.089285247117747,BM25,True,0.23395549947699276,1.3434575160393993,0,0.1092142859885148,0.025626180375013706
5,15.223312050813266,none,False,0.9181056608982311,0.7736133317488086,1,0.11367735561015511,0.026255515653623333
4,16.47789048283951,none,True,0.3574802131236736,1.1591572005478132,2,0.11763864508328313,0.02766401956428676
42,8.196520847476858,BM25,False,0.17344740473904788,0.21928739180866622,3,0.09976745065143207,0.022978425532848
49,5.662979653604231,BM25,False,0.702384505884715,0.2029225926858354,4,0.08959614728313285,0.020285610760083703
47,8.640344642954908,BM25,False,0.34634219446253733,1.3966335770029623,5,0.10250864455455766,0.023735725803797222
19,18.28754404875015,BM25,True,0.7028345535741669,0.7030881064238056,6,0.10333073044325432,0.023864378681672575
29,11.067810001928901,TF-IDF,False,0.7052724208912791,0.8789246630349067,7,0.11056946500572318,0.02556688052822242
39,19.71939044947227,none,True,0.34069144825581127,1.3584016024299024,8,0.11235105642363892,0.026016344023211093
26,17.358326406106514,TF-IDF,True,0.3311495557664812,0.8638625277434478,9,0.11210408630832538,0.025990198659513953
13,1.2397067252947966,none,True,0.5019779177466618,1.7720061243179928,10,0.11603671411973714,0.026950074364767884
13,2.455080220863442,none,True,0.504827920739827,1.8286043807152825,11,0.11602398083832506,0.027032835450466117
4,13.067585611711184,none,True,0.500776147341131,1.7500326834701978,12,0.11737008764434739,0.027732505311115735
2,13.60325354091416,none,True,0.5521666764149287,1.608712074506545,13,0.11424938324737918,0.026662089142651727
20,11.908597003424163,none,True,0.10380077727691112,1.193038880623952,14,0.11571821498241766,0.026822682991263884
2,22.37522547783979,none,True,0.44889583457211696,1.1090006056994097,15,0.11445570761842054,0.026343149071422406
11,15.804560645639329,none,True,0.5939425338074307,0.5085330548766548,16,0.11153267244577422,0.025707647961664384
19,20.422986604537268,TF-IDF,True,0.9468667147555206,1.587204347909924,17,0.11388302790814395,0.026278927757849013
32,13.248524455143851,none,True,0.3723694965563733,1.5883794693089197,18,0.11360337334597674,0.02647328056039985
7,9.028595987567819,none,True,0.8360435130563552,0.5206716792303994,19,0.11115363128504298,0.02561058868375669
16,16.138466727736496,TF-IDF,True,0.24003188090350402,1.8892445094057653,20,0.11742310886618705,0.027280125729935104
14,15.544195177566964,TF-IDF,True,0.23338828310834359,1.8030155623769906,21,0.11714618874268988,0.027317975431744634
7,17.87574080553652,TF-IDF,True,0.432517708566306,1.8940628379657236,22,0.11801140825109484,0.027804897836427887
16,20.88295973551539,TF-IDF,True,0.2553467449022991,1.8735667222229953,23,0.11740802620271149,0.027202658620462044
8,18.087486122560435,TF-IDF,True,0.44621805809896564,1.458362679679203,24,0.11740994380173482,0.02750995262959621
