,topK,alpha,result
0,51.0,0.3774241480510347,0.05047467220517467
1,52.0,0.3846647742101469,0.05040746556503141
2,211.0,0.37486511236471187,0.04289579239244544
3,116.0,0.36173198869809614,0.04664098211719749
4,299.0,0.3627693116383861,0.04062130974245677
5,32.0,0.3654305356083161,0.05219341969517508
6,332.0,0.3871590339310712,0.04013628295127614
7,271.0,0.37892971183884794,0.04119454796799164
8,31.0,0.3881335921581344,0.052404819690534364
9,159.0,0.37266501396639456,0.044697913152665
10,123.0,0.35280388598605666,0.04627881814482047
11,5.0,0.3662087648983572,0.050201387884887184
12,398.0,0.3551810999946966,0.03888888219555451
13,5.0,0.3684450416823514,0.05021146692868661
14,83.0,0.3823594867957717,0.0485313600495466
15,214.0,0.3588514368484363,0.04274628899312476
16,158.0,0.3705585138267039,0.044721659982256246
17,64.0,0.3644837752240155,0.049649590635757745
18,4.0,0.3884026348068206,0.04773497949162606
19,111.0,0.37997946790322396,0.04703244057658873
20,172.0,0.3584365096675021,0.04416865347098202
21,46.0,0.3759270159648745,0.050937633308878405
22,48.0,0.37430455564072757,0.05068170703192451
23,83.0,0.38993611691262364,0.04853041182738512
24,32.0,0.3824736998969662,0.05222206604445275
25,32.0,0.38399513759498927,0.05222148930226748
26,111.0,0.3844199416074817,0.047054486184066754
27,79.0,0.38169560164730776,0.048741303129443546
28,23.0,0.3854529644398552,0.053344061630422955
29,234.0,0.38695666502892706,0.04224796701168397
30,141.0,0.3774265766432888,0.04548748547546564
31,22.0,0.38445274242968513,0.053392171076232606
32,29.0,0.38692740333198183,0.05257252895535644
33,64.0,0.38572201296300124,0.049654048395472355
34,92.0,0.38851808672963256,0.047981279640307434
35,30.0,0.3803981126573718,0.0525362443976787
36,21.0,0.3800323146309985,0.05356643311396872
37,59.0,0.3850436546511552,0.049959191864832116
38,17.0,0.3769438008573302,0.05396276989749207
39,5.0,0.3771510185317727,0.05017148318902338
40,326.0,0.3732321091874635,0.04022591225665103
41,19.0,0.37829223547693525,0.053797773663607315
42,15.0,0.37801474477001434,0.0540552561404618
