topK,alpha,iteration,RECALL,MAP
8,0.6094379801732381,0,0.026831234711114888,0.026831234711114888
44,0.5657407188050275,1,0.02680136996632266,0.02680136996632266
10,0.6643650809105279,2,0.026941008444765546,0.026941008444765546
2,0.31709110076592356,3,0.019289433666809252,0.019289433666809252
19,0.33860566701280526,4,0.02764493816800242,0.02764493816800242
15,0.6227814135100632,5,0.027502401886039647,0.027502401886039647
27,0.43926020954754924,6,0.02742985624334884,0.02742985624334884
34,0.2854204972951472,7,0.027050295402272974,0.027050295402272974
41,0.592356031244153,8,0.026825134011985323,0.026825134011985323
46,0.38705451161198434,9,0.026685532098886508,0.026685532098886508
21,0.21349091505889278,10,0.027420265839192083,0.027420265839192083
19,0.5169814914089669,11,0.027641377617620762,0.027641377617620762
22,0.4973819352094403,12,0.027577558522832526,0.027577558522832526
30,0.4872768267630002,13,0.02722582048061421,0.02722582048061421
17,0.3735388588525447,14,0.027701486472650232,0.027701486472650232
14,0.37222281675867874,15,0.02771136939955978,0.02771136939955978
13,0.3978838404914335,16,0.027689948963920283,0.027689948963920283
6,0.23786733149608433,17,0.026214347646836694,0.026214347646836694
15,0.38379954064741356,18,0.02769490128271153,0.02769490128271153
37,0.27186170307623897,19,0.026895409175341084,0.026895409175341084
25,0.34035535344325324,20,0.02747401803768343,0.02747401803768343
16,0.4011005132081171,21,0.027707215805003536,0.027707215805003536
12,0.44655836924800696,22,0.02748695417082537,0.02748695417082537
4,0.40317267820308234,23,0.024413321623281383,0.024413321623281383
17,0.3546244036206817,24,0.027737983256728174,0.027737983256728174
50,0.4248318259742145,25,0.02652508336898381,0.02652508336898381
24,0.30170753926751526,26,0.027490469014526557,0.027490469014526557
29,0.3548394105087576,27,0.02733913762464142,0.02733913762464142
11,0.4725150209496913,28,0.02731006017741433,0.02731006017741433
8,0.5306176683251402,29,0.02700415336602204,0.02700415336602204
7,0.2516158272131085,30,0.02689452703641476,0.02689452703641476
17,0.359931592225811,31,0.027722964041639885,0.027722964041639885
16,0.32948433681166744,32,0.02775878322418503,0.02775878322418503
21,0.311314190849124,33,0.02761263497182553,0.02761263497182553
11,0.35587953594183735,34,0.02759294110602782,0.02759294110602782
19,0.6944647583717807,35,0.02738261838944204,0.02738261838944204
14,0.3448746784913638,36,0.027703817513336504,0.027703817513336504
17,0.3213533491811396,37,0.02773875798495627,0.02773875798495627
18,0.32420342466204616,38,0.027645356384125498,0.027645356384125498
23,0.2820679464947542,39,0.02745502691209241,0.02745502691209241
27,0.26110082123438877,40,0.027322340419696285,0.027322340419696285
10,0.42540294410744245,41,0.02737252178380306,0.02737252178380306
16,0.3066985360055886,42,0.02772652916268948,0.02772652916268948
20,0.2212600725558933,43,0.027610559888547985,0.027610559888547985
17,0.3126444235546919,44,0.02774300185020565,0.02774300185020565
16,0.3072545811268406,45,0.027729452104883315,0.027729452104883315
9,0.2901389238972055,46,0.027384090144542014,0.027384090144542014
22,0.3219811960089248,47,0.02756623469283207,0.02756623469283207
31,0.3291851112197491,48,0.027191627313214336,0.027191627313214336
14,0.24216481605750137,49,0.027716448554388436,0.027716448554388436
3,0.2893532163748396,50,0.022764714808598402,0.022764714808598402
16,0.30520115024798,51,0.027740801073557794,0.027740801073557794
19,0.27362900729317324,52,0.02763349892863458,0.02763349892863458
13,0.22474040876443635,53,0.02772848540859878,0.02772848540859878
17,0.2018060962520053,54,0.027530302386253605,0.027530302386253605
26,0.33638651527112495,55,0.027388604821871197,0.027388604821871197
20,0.3730069740259164,56,0.027626298983848243,0.027626298983848243
16,0.2579966960558219,57,0.02766878791369049,0.02766878791369049
