topK,alpha,beta,normalize_similarity,implicit,iteration,RECALL,MAP
29,0.23305880505601254,0.18924077070615128,False,False,0,0.031304758613755465,0.031304758613755465
28,0.23146757332049514,0.1580950906437779,False,False,1,0.030822800988382824,0.030822800988382824
33,0.32884780250291573,0.11178426877272299,False,False,2,0.03143576655860362,0.03143576655860362
19,0.42661891227050586,0.22564652304190602,False,False,3,0.036070250797165984,0.036070250797165984
7,0.32616486085930513,0.17784184243317339,True,False,4,0.04210637882539779,0.04210637882539779
13,0.45117226456537957,0.22907291699478627,False,True,5,0.03711287179910142,0.03711287179910142
33,0.2679719162756222,0.1309478036068686,False,True,6,0.03075646017635188,0.03075646017635188
29,0.2688957143430733,0.1575258802387588,False,True,7,0.03148310519451328,0.03148310519451328
5,0.21360782928541883,0.2734461551195943,False,True,8,0.03420348197407923,0.03420348197407923
21,0.45163388307570007,0.19861692756896857,False,False,9,0.03593624262735731,0.03593624262735731
2,0.3745896372954909,0.2701830024365993,True,False,10,0.029622494609287075,0.029622494609287075
11,0.4999218213358517,0.23475276233528236,True,True,11,0.04262004844540397,0.04262004844540397
12,0.49380988634441336,0.24752979419010085,True,True,12,0.04261402207317839,0.04261402207317839
12,0.4831448302957453,0.244794971798917,True,True,13,0.042610232908521235,0.042610232908521235
13,0.4908677305274508,0.29395310149174936,True,True,14,0.042452590359515784,0.042452590359515784
9,0.39875350592100417,0.24184976331286193,True,True,15,0.042543044549845,0.042543044549845
18,0.499333509503372,0.21508452954864957,True,True,16,0.042587759397735195,0.042587759397735195
15,0.4512965285608015,0.25785124967561746,True,True,17,0.042669070904037494,0.042669070904037494
23,0.44189759334414463,0.27376730097250424,True,True,18,0.042283770789122786,0.042283770789122786
17,0.3519612378608534,0.2584255307211075,True,True,19,0.04268392325735437,0.04268392325735437
38,0.3701286655263829,0.2893544192479211,True,True,20,0.04133780955175891,0.04133780955175891
16,0.40321778599499086,0.25951775382931147,True,True,21,0.042645233654632804,0.042645233654632804
16,0.40148610481890146,0.25444930070495375,True,True,22,0.042678695968336025,0.042678695968336025
24,0.34008590179854126,0.2120331107215949,True,True,23,0.04227817382550373,0.04227817382550373
16,0.308154240528042,0.2997411195641402,True,True,24,0.04270116609795202,0.04270116609795202
17,0.29926955491146046,0.29877258665183715,True,True,25,0.04256072468844598,0.04256072468844598
24,0.3005263011243636,0.28314236409377136,True,True,26,0.04221323958024644,0.04221323958024644
20,0.35883612556425276,0.2548869095113677,True,True,27,0.04256217295631758,0.04256217295631758
15,0.39211606780154595,0.27853401521825544,True,True,28,0.04272574269655803,0.04272574269655803
8,0.30753262055292246,0.2824359051755047,True,True,29,0.04232006652339356,0.04232006652339356
27,0.27362971930518554,0.29843006585787224,True,True,30,0.04185697470028021,0.04185697470028021
15,0.39507757381769715,0.2680790396906475,True,True,31,0.04271647152806631,0.04271647152806631
15,0.3844086646356272,0.2656801377522439,True,True,32,0.04280850810601558,0.04280850810601558
14,0.386474011194605,0.270908665839702,True,True,33,0.042753934893087896,0.042753934893087896
10,0.38100479779464147,0.2726192769815709,True,False,34,0.0426002550754728,0.0426002550754728
14,0.4217235539244587,0.26973733332308425,True,False,35,0.04268197795747392,0.04268197795747392
6,0.4190152385756055,0.21953848893929281,True,True,36,0.04139498626568507,0.04139498626568507
19,0.3857224585835307,0.2839393665618193,True,True,37,0.04255473212792183,0.04255473212792183
22,0.33005298772166464,0.174825589327814,False,False,38,0.03332890174635072,0.03332890174635072
4,0.47209893259288016,0.10190033981874344,True,True,39,0.03822171301799986,0.03822171301799986
26,0.3621773577034372,0.23590161094885412,False,True,40,0.0345693133113952,0.0345693133113952
14,0.39249298943073524,0.2852659724222514,True,True,41,0.042640125833625815,0.042640125833625815
19,0.4111840547774802,0.26530819235142644,True,True,42,0.04259352880103092,0.04259352880103092
11,0.4358221113907315,0.27676266206064737,True,True,43,0.04268590349599293,0.04268590349599293
15,0.34492148756670227,0.13976210899976682,True,True,44,0.042602836035337134,0.042602836035337134
21,0.3721177603578388,0.29118369303865344,False,False,45,0.03582001490419664,0.03582001490419664
13,0.31906692741772313,0.26428327701580256,True,True,46,0.04278795284574877,0.04278795284574877
9,0.32190304815666904,0.22769841337774593,True,True,47,0.04259926101145501,0.04259926101145501
13,0.28047588844328225,0.24778903665268692,False,True,48,0.03446477429336829,0.03446477429336829
11,0.3869264692995173,0.2649603169348497,True,True,49,0.042729292925192695,0.042729292925192695
11,0.2542929476740089,0.19358428619711868,True,False,50,0.042728595277089595,0.042728595277089595
7,0.23392534811240745,0.2000180380751281,True,False,51,0.04200971004437296,0.04200971004437296
11,0.24128625902285245,0.1844786388251108,True,False,52,0.042754925575935444,0.042754925575935444
11,0.23823495264461575,0.182758858564406,True,False,53,0.042714776434775205,0.042714776434775205
9,0.2510954367693388,0.16679138798647278,True,False,54,0.04241865017376792,0.04241865017376792
4,0.21638022626888692,0.19914982060429284,True,False,55,0.038672952712756586,0.038672952712756586
12,0.20862178828575084,0.18809336678973557,True,False,56,0.04272256214252398,0.04272256214252398
10,0.25908653902373985,0.20718269053392524,True,False,57,0.04268687163770618,0.04268687163770618
7,0.2548706003384869,0.16714931031700994,True,False,58,0.041963087089473494,0.041963087089473494
13,0.22906238867542014,0.1455879346086537,False,False,59,0.031664264908818025,0.031664264908818025
40,0.2858404898791478,0.23671998794840085,True,False,60,0.04107914327460314,0.04107914327460314
32,0.3823780354578658,0.2630641833298286,True,True,61,0.041628541719354935,0.041628541719354935
11,0.35981911409582895,0.19189533582594173,True,True,62,0.0427922548212087,0.0427922548212087
10,0.361673241812643,0.1892220320601111,True,True,63,0.04261421029164906,0.04261421029164906
12,0.3364296050899358,0.17601258403436992,True,False,64,0.04277716127775588,0.04277716127775588
17,0.32582446823636396,0.1770987265134899,True,True,65,0.04265120592813619,0.04265120592813619
12,0.3368906110541594,0.17005478167964577,True,True,66,0.04273092828447817,0.04273092828447817
14,0.33586251874507045,0.15669158003498446,True,True,67,0.04267249715643406,0.04267249715643406
8,0.3505874533642257,0.17018579508525858,True,True,68,0.042238256858025604,0.042238256858025604
13,0.3159876399265812,0.15757786241573818,True,False,69,0.04264244644339049,0.04264244644339049
