topK,alpha,beta,normalize_similarity,implicit,iteration,RECALL,MAP
61,0.49399032228014605,0.12528653341750795,False,False,0,0.1053887640355835,0.023871659755816142
37,0.722224035743216,0.5763056868503565,False,True,1,0.09785726315128146,0.02179079801121067
23,0.36890740436655306,0.2726058809082778,False,True,2,0.10810974310193905,0.024958528043790167
146,0.2332712066935134,0.5507946743624083,False,False,3,0.10112477771119859,0.022980570318812957
54,0.691083753619707,0.1874094531787902,False,True,4,0.11038637841587805,0.025380719505416607
82,0.7315568962718639,0.18508471474452817,True,False,5,0.11512339665269855,0.026184370920678237
3,0.7418723566694891,0.6018994120430976,True,False,6,0.08616121722860165,0.020446248030041973
161,0.4294600737967702,0.44244223248538433,False,False,7,0.10735999644160721,0.02455985381175375
88,0.5434401038464995,0.2422953435231132,False,False,8,0.10865490013945532,0.02466614926704705
56,0.43036451988687613,0.617901699489722,False,True,9,0.10132876867318912,0.02281372151102596
118,0.8732019365419568,0.8943192929624307,True,False,10,0.07429479329714266,0.01569233736649105
94,0.6611856804989511,0.12492440545253533,True,True,11,0.1142426849582688,0.025732528392988972
103,0.6076500360897986,0.4235296230105504,True,True,12,0.11324484814065833,0.026033631432300478
129,0.8993174047333237,0.3231430345807347,True,True,13,0.11151647528377907,0.02525630706478946
187,0.6320492216236013,0.10371242900405331,True,False,14,0.1092346169520436,0.024182446897978417
84,0.7979501928655863,0.35951189997900934,True,True,15,0.11393159877437688,0.026002676583187345
78,0.6044542538861575,0.77604110452267,True,False,16,0.09140374944901643,0.01997602227560753
106,0.10422244786828905,0.22151839610870097,True,True,17,0.1132009764655013,0.025780494125776817
139,0.7994225419738862,0.16739370449235536,True,True,18,0.1120890600643962,0.025019007122928358
173,0.6615661478985345,0.32258938688354044,True,False,19,0.11257341853519728,0.025491267967295256
72,0.5490808899971801,0.7304925357498547,True,True,20,0.09633442345182104,0.02131767216792247
89,0.8006746056324808,0.38514870020895686,True,True,21,0.11313611410357893,0.025803529149891584
113,0.7938577701197356,0.33018081280339734,True,True,22,0.11312572527599783,0.02567492426403037
90,0.7690354298833989,0.17602492854613028,True,True,23,0.11416339103388831,0.025846899075993163
40,0.7238647205521233,0.14567948837481023,True,True,24,0.11756929346038458,0.027123094717038394
38,0.6973240670172591,0.2702645561446364,True,True,25,0.11760057362029681,0.02711759620341976
37,0.8483466402626239,0.2742512045262422,True,False,26,0.11652199308359185,0.026725619142688326
17,0.8557206683088016,0.2776341522351987,True,True,27,0.11731854198033273,0.02713754831196012
2,0.8601301293204461,0.47247004383335595,True,True,28,0.07952622784104499,0.018266525021665043
20,0.709893129736483,0.23892547311822265,True,True,29,0.1194179168630879,0.027765160448729207
36,0.5509362485775637,0.5153447905577986,True,True,30,0.1138246067826524,0.025910457642704856
21,0.6872061276177321,0.276535919308872,True,True,31,0.11884336710363369,0.02767469893009731
23,0.6943929383710823,0.22741652175386837,True,True,32,0.11891168913324225,0.027663561354818327
21,0.6812393301251458,0.23511614620804566,True,True,33,0.11925084458654518,0.02779013343608115
19,0.4819644055718012,0.2189425536747078,True,True,34,0.12056250472903988,0.028285344747204667
16,0.470682692666815,0.20883095066029214,False,True,35,0.11162517890040018,0.025753144391058524
47,0.3260301601899915,0.2225035374993058,True,True,36,0.1191010529560342,0.02747680957317199
48,0.3037454578751458,0.37755923472966074,True,True,37,0.11783069802033222,0.027085892907419612
