topK,l1_ratio,alpha,iteration,RECALL,MAP
311,0.09404784368782633,0.00016160200175734723,0,0.047441038028244086,0.047441038028244086
319,0.11610054563497994,0.00021346660231684025,1,0.047665307661684794,0.047665307661684794
291,0.06009139143700075,0.0008577789685606167,2,0.04603624975035506,0.04603624975035506
309,0.21040481147314072,0.0007647295098513899,3,0.04188686875244103,0.04188686875244103
307,0.2751618337754849,0.0003218049083952826,4,0.046306455961158934,0.046306455961158934
320,0.11841238339227088,0.0005819842467772278,5,0.046197444782108854,0.046197444782108854
314,0.07256557698096346,0.0007259149691808879,6,0.04630791099137079,0.04630791099137079
307,0.10666749792388856,0.0007426781779308736,7,0.04544213983888316,0.04544213983888316
300,0.07132895053483358,0.0008173386684199266,8,0.045926286208385604,0.045926286208385604
320,0.27561264587494766,0.0008160410880794647,9,0.038911473978287786,0.038911473978287786
299,0.160186347136751,0.00010559863002829043,10,0.047345324991308765,0.047345324991308765
314,0.14741727307734373,0.00012257931758406491,11,0.04746505560672233,0.04746505560672233
315,0.15819621671507705,0.00030231000311053773,12,0.04750119806128042,0.04750119806128042
315,0.18935084882810502,0.0003137205894155489,13,0.047184109672534155,0.047184109672534155
317,0.21195180215873644,0.0003248730676534809,14,0.04696809911066045,0.04696809911066045
301,0.13700577501131184,0.00044700125635482174,15,0.046879525977979127,0.046879525977979127
311,0.18752585642994757,0.00023164222501095876,16,0.0476832357527616,0.0476832357527616
311,0.23752548049340938,0.0002178489065479187,17,0.04753773385863013,0.04753773385863013
291,0.18590379752091674,0.000460620919091276,18,0.045999999098352916,0.045999999098352916
304,0.2468680073894989,0.0005715356374716163,19,0.04327361397946857,0.04327361397946857
295,0.11685515006822708,0.00023010367793513254,20,0.04771445747772666,0.04771445747772666
297,0.12502519041432736,0.00022853418554891317,21,0.04773825077191944,0.04773825077191944
296,0.13156694652404297,0.0004005315270380339,22,0.04715239993201418,0.04715239993201418
295,0.09370631245272926,0.00022586087418067648,23,0.04769208202087393,0.04769208202087393
295,0.09769043689325131,0.00037994107157854573,24,0.04750318280814592,0.04750318280814592
294,0.08059142800113342,0.00024958256893489267,25,0.04766001613043387,0.04766001613043387
297,0.05264447151952126,0.0005410264630141355,26,0.04721720343869328,0.04721720343869328
303,0.12813006680966976,0.0006432990898249127,27,0.0456219932944617,0.0456219932944617
293,0.09247014822007749,0.00017980312892718224,28,0.04752856750641233,0.04752856750641233
298,0.08940217807008036,0.0001637006169243791,29,0.04743078068513148,0.04743078068513148
290,0.10769276257073171,0.0002751461372616923,30,0.04774344086806643,0.04774344086806643
290,0.11130416913304375,0.00027739029092550143,31,0.047748307498937756,0.047748307498937756
290,0.11080559822161515,0.00037532693977590666,32,0.04747759185850135,0.04747759185850135
292,0.1657682406106613,0.0001649161760927915,33,0.047644779450778996,0.047644779450778996
290,0.14443495359912223,0.00027810870280884574,34,0.04767959761370365,0.04767959761370365
294,0.12162417855150137,0.0002744332042701276,35,0.04772969979266494,0.04772969979266494
293,0.12324929897125766,0.00035009498644570476,36,0.0474891024886748,0.0474891024886748
292,0.10623550095559307,0.00042876726379369314,37,0.04720439782036074,0.04720439782036074
297,0.2983674251624201,0.000271157866948247,38,0.046690554633621394,0.046690554633621394
290,0.07407540091188752,0.00018019338357103408,39,0.04742341875070534,0.04742341875070534
302,0.062234257880477095,0.000493130798753677,40,0.04729009695843279,0.04729009695843279
294,0.11710951521318864,0.0002640491496854697,41,0.04775697569209002,0.04775697569209002
293,0.10526647126570662,0.0002816251970043946,42,0.04772487373583518,0.04772487373583518
292,0.143547787131874,0.0003373122657120396,43,0.047376317923761416,0.047376317923761416
299,0.1259290996094596,0.0002603895309702717,44,0.04773163156786499,0.04773163156786499
299,0.17353037481324024,0.00011846326179759887,45,0.047503985272522795,0.047503985272522795
297,0.15541598749222035,0.00019681300270754128,46,0.047748167743905806,0.047748167743905806
297,0.14994579847312245,0.00019378257207287123,47,0.04771778793030294,0.04771778793030294
308,0.1554788391626509,0.00013915470039574314,48,0.04761397022856988,0.04761397022856988
291,0.1385070242916104,0.00030521044640615465,49,0.04760500449244645,0.04760500449244645
300,0.2058917051976037,0.00010155600998650787,50,0.04744201631346789,0.04744201631346789
298,0.12961080072407552,0.00020345284513258844,51,0.04768225070519772,0.04768225070519772
305,0.11338685436380277,0.00024968300260536737,52,0.04771392888812988,0.04771392888812988
296,0.10443754679854919,0.00014563849740169618,53,0.0473955488923946,0.0473955488923946
300,0.170290255259781,0.00035255522707946575,54,0.04711393912180457,0.04711393912180457
294,0.08368464497762373,0.00024720008619957,55,0.04766227024385267,0.04766227024385267
296,0.13835228195417107,0.0008964326211747171,56,0.043125170467325454,0.043125170467325454
291,0.11785761014525183,0.0003043771693293893,57,0.047717178192623035,0.047717178192623035
302,0.15441818210314104,0.00022436326024560132,58,0.04776399500127629,0.04776399500127629
301,0.1805273337378982,0.00021813769301418402,59,0.04773873089807765,0.04773873089807765
302,0.1970635853930286,0.00021000744095874848,60,0.04769329698800669,0.04769329698800669
