topK,l1_ratio,alpha,iteration,RECALL,MAP
312,0.31883575203896664,0.0009592179174882873,0,0.09159165610964941,0.022416416194059312
305,0.35737699464954387,0.0005506592354802661,1,0.10823893732658425,0.026025203120486052
298,0.3546632505280972,0.0006271090454560641,2,0.1045040676135953,0.025131407848019396
293,0.5184030201293329,0.0008074006196942115,3,0.07891859368768889,0.020009356157421214
298,0.15284844972698822,0.0006264511465138738,4,0.122105126998114,0.028902720872960207
315,0.10377105962848351,0.0008632421482758093,5,0.12167908574440654,0.028757204515453598
294,0.4568366018504616,0.0008530032629893787,6,0.0815254612770203,0.02055898127123077
315,0.22909066874398973,0.0005034283007554682,7,0.11982308584790369,0.02855555121342027
293,0.4413273200028971,0.0006188881212654162,8,0.09703688402782852,0.023647984975299755
319,0.3826995458157304,0.0006053802704323193,9,0.1031097457304886,0.02486240346749113
302,0.10008044974923389,0.0001990750826053348,10,0.1268838134774313,0.030509932290123172
303,0.11980498919950627,0.00010931670217446038,11,0.12458014631809836,0.029963546637267247
305,0.20509684743403317,0.00012271352758297057,12,0.12615025135665797,0.03036391772980324
309,0.22971446300419676,0.00010911908844596401,13,0.12585277515370363,0.03033123174018048
302,0.21147975369555932,0.0002900155116486614,14,0.12632377240462178,0.030211802470353818
301,0.27940244450860485,0.00029287423254682114,15,0.12483363030571872,0.029747647705706697
308,0.1723649029562786,0.0002966852831883368,16,0.12708373222658353,0.030393604218542907
308,0.15744678871508633,0.0003095294511018863,17,0.1274918299620158,0.030426241073484565
309,0.16489525950053752,0.00041582687392404,18,0.12591862125752035,0.029932358684085548
309,0.27247913510600397,0.00038710984052731345,19,0.12162461355495743,0.029055577723294715
312,0.18239785980233342,0.00027889459537538285,20,0.127156320202864,0.03043709412467969
312,0.16288201380632017,0.0002790865426581191,21,0.12769698326874276,0.03054589202070982
313,0.27351158613633786,0.0003993703437193437,22,0.12122652825527765,0.028955558937849128
320,0.1527515113685262,0.00022576119312621578,23,0.12766340864666403,0.03064458759776572
320,0.13761583884071943,0.00020077847289624694,24,0.1272799352355017,0.03058598477784634
318,0.569994707035221,0.00021617267092378988,25,0.12033816116729529,0.028825010375415648
316,0.23984990696134906,0.00035819469295015027,26,0.12426817803483789,0.02961975013072033
317,0.14644570300426116,0.000460566898486279,27,0.126161488980674,0.02991818732791344
306,0.18625514888311115,0.00020721698169752257,28,0.12746807612064717,0.03063693744218018
312,0.3226769210589325,0.0007292626987775979,29,0.10210455470314123,0.02457297048628206
313,0.25093372506388667,0.0009967772061324478,30,0.09912937406511504,0.023855728692459454
306,0.18956032632462866,0.00022664769195041763,31,0.1275103213383772,0.03061708017500099
306,0.13560214677533494,0.0002405647261039481,32,0.12782395195583138,0.030656998104086074
305,0.12972660246379325,0.0001655981872736202,33,0.1267817432582785,0.030473297243337825
310,0.20599468354475187,0.00024373708370956104,34,0.1272193023842037,0.030490554943085255
300,0.32368276897120574,0.00016297777666952483,35,0.12698213498165764,0.030508241142958727
296,0.12395587680972135,0.00034111784836847204,36,0.12834546893065313,0.030481131368310897
290,0.12126495289052339,0.0003404332101256286,37,0.12841860214324616,0.030500109924564846
290,0.11748757103543127,0.0005231575632939839,38,0.12631771212353898,0.029972333746520873
296,0.10442943478590742,0.00035921608889258387,39,0.12847468195701361,0.030484721628034547
290,0.10400299835234164,0.0004700803090173112,40,0.12750895811088764,0.030233402304712845
296,0.13121807453490958,0.0003351413665528836,41,0.12813455889941117,0.030448329969320814
296,0.12591989543994403,0.00034741129605040885,42,0.12824217903896107,0.03043191098715371
296,0.1022892550927377,0.00034829777642522697,43,0.1282845017243157,0.030501009203496368
296,0.10204266570669854,0.00044290848564784523,44,0.12786156019518502,0.030329221788922046
292,0.12083215555165987,0.0005626071321503195,45,0.12562195801827192,0.029785495122182246
297,0.48950922085843473,0.0003511426218295371,46,0.11307480873160995,0.02717496151497483
299,0.3692070457655903,0.00037509924852049774,47,0.11760971051924732,0.028095164964549196
294,0.10593792269086898,0.0004898304562590987,48,0.12723687049560442,0.030152443204878532
292,0.14722380545484023,0.0006880839085743481,49,0.12080997444756088,0.02866646989940799
295,0.21735341014437107,0.00043137781035251246,50,0.12276236306840368,0.029295064729799595
298,0.40498588416828196,0.0003454002315682048,51,0.11747289230736045,0.028103740680407243
296,0.12903405742138974,0.00032710220715666976,52,0.12825412338833492,0.03049533129115801
293,0.12110686592908548,0.00041110474912998843,53,0.1273360522371716,0.030342995496977
297,0.1691611110924509,0.0003162064327353604,54,0.1269615044978318,0.030318644120474667
299,0.18917289249606156,0.00027129581695157807,55,0.12715138199356812,0.03044700561826431
295,0.14488863667034527,0.00038248839723318184,56,0.12664446766253232,0.030227434154955747
291,0.11639031393243646,0.00031950685993476917,57,0.12821894117709634,0.030532535386110997
294,0.17324532098820225,0.00042114366466849815,58,0.12544898035798133,0.029845639399888657
303,0.15321889568517938,0.0005579204139680044,59,0.12366128384321541,0.029294501394967053
