cutoff,n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,iteration,MAP
240,400,0.23873688981067262,45.28852898785819,0.6536504629317843,3,8,0,0.06345214630661901
451,964,0.11443573127379288,26.657916427010587,0.8637141856939876,9,6,1,0.06191436199891603
40,981,0.1404352793354089,41.060068824438815,0.32553914294087993,10,6,2,0.0635158021904705
426,696,0.2412357674527507,28.113976380989918,0.5972828070141522,4,5,3,0.06286859059849732
310,979,0.011924628297152634,13.11737735902702,0.7467477834359632,6,0,4,0.057078999727914345
185,996,0.1756245522575625,23.581557581731698,0.16338126423693444,3,2,5,0.06294339337127043
365,412,0.20168114587172836,31.61049393538713,0.07931816603631703,8,0,6,0.05603444078515277
416,483,0.2672370931787099,45.769118846545815,0.2278093382596188,9,1,7,0.022684986138941297
423,276,0.02929451307705657,26.303885425327074,0.5396766477030699,7,1,8,0.021870443306986412
273,550,0.26246859675894635,42.98198185699702,0.8562661857279078,6,3,9,0.0628360210112737
45,734,0.08641830812733181,2.107035344104517,0.3211714484244804,10,9,10,0.056367246272533006
153,120,0.13242930020937133,39.305979815990476,0.38546187619409755,2,9,11,0.06328703986196367
42,748,0.19691437150119773,48.20271733049187,0.6462202727229391,4,7,12,0.06369467330160075
44,773,0.18585620133456582,36.51655357302645,0.42359719738414625,5,6,13,0.06356223774250612
131,770,0.19458260773780153,35.225645770196195,0.4484976774107534,5,7,14,0.0634224681158181
98,814,0.2208145904069137,49.16257749285261,0.9610048649039676,5,4,15,0.06368978359824091
111,854,0.22405001132236144,48.858707320866294,0.9693250853306299,4,4,16,0.06343577264570868
98,639,0.29683174893101305,49.46605881004789,0.9687893428061645,5,10,17,0.06323935400097268
203,880,0.08066645755892618,16.43783552135924,0.7502614938942144,2,4,18,0.06322602913886473
178,646,0.2926867962908516,0.21498987398057068,0.6925403828478415,7,4,19,0.051129684088594446
88,868,0.16154755349629357,20.68142153886431,0.8745904610545824,4,7,20,0.06334807403240829
70,783,0.18768052391306675,37.294943616221495,0.4785050457434829,5,6,21,0.06353804890131606
77,606,0.2158940080664111,33.243341201150095,0.595330196145776,5,5,22,0.06370688848441387
141,588,0.21594769100527972,49.085046949050756,0.5606834135776138,3,5,23,0.06343733916055054
82,543,0.2502255392843446,33.56215320950072,0.7910717309210075,7,3,24,0.06359446613480359
214,688,0.21821391288961658,43.45431042273796,0.6373261622226407,4,7,25,0.06324626154090056
498,854,0.17095958691650176,30.480440744231522,0.6828287500163881,5,5,26,0.061914487619736065
123,604,0.20826384955739627,7.9548996724557774,0.9975643287938736,6,3,27,0.06307668711862839
162,488,0.2354569555624592,39.106248080305754,0.5257203086558869,3,8,28,0.06354540389059764
255,329,0.27477349202340845,46.748175058337026,0.6120027824371547,4,8,29,0.06329404890427597
75,924,0.1518209034057455,44.510990155992666,0.8161376810254269,6,4,30,0.06351500400582788
71,467,0.2518544182838726,33.41293157977916,0.7615273144511824,7,3,31,0.06360759227260976
68,449,0.2360676309925121,41.430404944294715,0.8884590339033981,8,2,32,0.06359452376240234
109,303,0.2532783965065045,23.189083168200327,0.7324791012068467,6,5,33,0.06357849058905275
49,701,0.2270838173319136,30.243591163977964,0.6664606797794368,5,2,34,0.06348012963658715
103,810,0.20663844524848496,34.07431007723814,0.5883675451426845,7,6,35,0.06349306472681872
307,353,0.2770915724736436,19.863739698208914,0.9369481972650758,8,3,36,0.06311946244525875
59,522,0.13562858712761594,39.39435563301801,0.8265906318153277,4,5,37,0.06365895774807055
226,538,0.11235072039707894,46.9407097574087,0.9071008995670578,3,6,38,0.0631815930182958
176,660,0.1479087074174479,40.85625036936386,0.8504956273728769,4,5,39,0.06313159981788995
57,918,0.11766432686866367,27.954504079167517,0.7228810733065785,2,7,40,0.06354267274868773
40,404,0.18293756378176876,32.456752378200484,0.7976071416859821,5,4,41,0.06370214516032432
42,204,0.17946006212435628,37.71089923661008,0.8091881110988214,5,4,42,0.06349884572857868
86,588,0.16252514925580425,42.55595639404023,0.9158009935790513,4,5,43,0.06356621399242275
114,379,0.19263854002779923,46.300214388506525,0.01967877569900134,4,5,44,0.0634402024890812
143,427,0.13814105789741946,39.66007303276461,0.8280647046759297,6,6,45,0.06343451211169698
362,518,0.12266875210978367,31.81929277175823,0.7730303370075342,5,4,46,0.06296091176233251
57,730,0.17350784134419933,25.86095854743309,0.6949484042640992,3,2,47,0.06349280458416502
94,214,0.10116855296102775,36.30389660266962,0.6454857942907498,6,5,48,0.06334469580089526
127,813,0.20363096430947625,45.08615263723575,0.3547599754942862,4,9,49,0.06359924727572949
