cutoff,n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,iteration,MAP
16,858,0.18089298385037728,33.90418360799869,0.30340030553714514,6,11,0,0.06288025578666154
190,1191,0.4197675588337327,53.54889918590177,0.7368316758271956,9,11,1,0.06317500645897078
104,1481,0.2579270265063968,53.979801273904584,0.3739630953373626,9,11,2,0.0634425703172966
172,1129,0.2996887873546755,54.04829554834817,0.48945817459690744,11,11,3,0.06329239550593202
190,1098,0.1310657192790255,52.26933588879114,0.6938904567872897,3,10,4,0.06288469866641377
199,1415,0.4251116268875445,41.43318798434093,0.6377839333370895,6,14,5,0.0629014103118999
63,1426,0.4157685498454372,41.85772529468852,0.8107769111085468,5,14,6,0.06274037906214844
66,849,0.3637770992742871,50.44532162296401,0.3859479066775696,8,5,7,0.06360711051150489
66,795,0.2932730781444165,37.155057129195384,0.5054047815714413,8,15,8,0.06309763909707193
161,941,0.26867747232017064,52.870938722970216,0.4475407727039956,3,12,9,0.06336887239922448
13,577,0.4971421346920009,47.003769792322984,0.8767536257715762,11,5,10,0.06342083074201833
118,715,0.3552365739240039,47.862978098692885,0.31575963933898565,9,7,11,0.06349129863974291
124,648,0.3661910488615532,47.038056149398784,0.30260824312883,9,5,12,0.06334925457519494
82,711,0.34520754531215386,46.68330777805732,0.40629618592899847,7,7,13,0.0633433246367669
134,529,0.21169090933697143,49.48489064303513,0.560750085788132,10,7,14,0.06322013165762078
37,987,0.34636015967151934,43.81584087562045,0.36584005706076494,8,7,15,0.06310451774384856
97,771,0.4673841700580787,49.80285634906873,0.5687305303342977,7,8,16,0.06343440788414251
136,652,0.3939558638812572,30.394207741497574,0.4223929106321763,8,9,17,0.06325384115040186
48,882,0.3185515545562487,44.44321173494833,0.33996020622151696,10,6,18,0.06353860124024571
44,1266,0.21495006871590466,39.06857568550641,0.4997099610801174,10,5,19,0.06349096709400524
41,898,0.31345106237839643,44.3705038609612,0.3674893614729531,10,6,20,0.06350404181179609
38,914,0.31307397873551057,44.36770869578077,0.36028130247173074,10,6,21,0.06326420159875869
61,1063,0.31812607528141756,44.7708530497178,0.447324265371431,11,6,22,0.06348515664136338
82,864,0.25180558663447905,39.137726659754904,0.36777022731175135,10,6,23,0.06347053112947065
50,1011,0.3950220942099571,50.07257160865112,0.4702544042598252,8,8,24,0.06323179366264099
25,844,0.371711250086618,39.79154928400244,0.5518877116510486,10,5,25,0.06350648055791633
24,800,0.45373296443121036,35.87515892459196,0.6232835553223686,11,5,26,0.06346345008553375
79,1008,0.38065428961665476,39.19774082990664,0.5674998699750672,6,8,27,0.06309857752595142
28,830,0.3394808123970891,41.20647931547756,0.6985036365029381,9,5,28,0.0634908628664506
10,695,0.1323987287791843,31.95883228456625,0.5362772606944949,7,9,29,0.06328653613172537
25,957,0.09189343214530624,34.380122296789864,0.3244262090701001,4,6,30,0.06357437722362998
26,941,0.10638327800911938,34.57626213147936,0.32978041878159153,4,6,31,0.06354022048554267
61,959,0.10421071574709817,33.30269264256991,0.3300622987708116,4,6,32,0.06356942375763734
56,1199,0.10701511886605623,35.66031693580436,0.4113184282315478,4,7,33,0.06348477846846382
72,970,0.09270721819732171,32.67286173394149,0.32384506888334713,4,6,34,0.06339823218042369
30,1077,0.16099377379147417,34.87606854406528,0.3986657292287864,4,9,35,0.06338956264797731
97,1160,0.16129803392080566,33.39797592448595,0.30363572075097534,5,8,36,0.06347647029538808
20,1037,0.12295769129267492,30.51403865477697,0.34091540144605764,5,12,37,0.06316769148570571
54,1252,0.14957874062412996,34.30827699328489,0.3865008112609773,3,6,38,0.0635641495241587
56,1291,0.15531579500690096,36.678626848230884,0.44523428015532374,3,7,39,0.06331095132527338
71,1230,0.18854444816397897,37.669629199870165,0.3933795879542695,3,10,40,0.06319938050290295
34,936,0.0910506820469461,34.18047321427775,0.34452787131398926,4,6,41,0.06364738594119267
52,1122,0.09122001601187835,31.528451458104207,0.3480134218288387,3,5,42,0.06364712800225422
37,1123,0.09311468937718011,31.624312041357612,0.3483672285949974,5,5,43,0.06369598938645915
34,1123,0.09075371610294404,32.026275498616556,0.3515761732345495,5,5,44,0.06357590755401697
36,1335,0.12466701638888333,31.70744284824876,0.42144976794468403,5,5,45,0.06360096326229805
17,1334,0.13295865291241715,54.85804266256074,0.42555668481832754,6,5,46,0.06365823804016534
17,1401,0.1316703464951284,54.872371231180324,0.4748923085471871,6,5,47,0.06359951348540066
16,1318,0.17449638990602415,50.748886146429165,0.7745995084324766,6,5,48,0.0636694731819753
12,1461,0.19746180942669553,51.62647664369064,0.8092237359476879,6,5,49,0.06349147197144508
18,1330,0.17293420777910196,53.468404656750835,0.7730453253024231,5,13,50,0.06288880289956919
46,1375,0.14221555711564252,52.327208510538014,0.8748867106318696,7,5,51,0.06343594271718173
39,1158,0.11509139019121534,51.103189580316965,0.6389109631919926,6,5,52,0.06363216518594424
32,1159,0.11660694794550122,54.88475860795343,0.676427471049092,6,5,53,0.06351390371726029
40,1498,0.11380128342935654,48.54337116848366,0.667772054672643,6,7,54,0.06347465585354721
