cutoff,n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,min_child_weight,colsample_bytree,subsample,gamma,max_bin,iteration,MAP
32,523,0.5086555936711112,45.98437995195109,0.4725592945580203,5,10,9,0.44265577142800056,0.8022914732049201,4.2834429735858315,558,0,0.08380883677453921
22,671,0.5139832988563484,36.68780197626187,0.4830708157910656,10,6,7,0.41473616811925873,0.6046998749023811,6.154216297129212,302,1,0.08387569808103759
32,537,0.34049797074953997,47.36646141564118,0.37868752042229514,4,12,5,0.5516385424783673,0.6578002479729784,6.591330419740498,394,2,0.08358918023340729
33,538,0.4369067102283241,34.24756253961648,0.4242787796119823,5,5,7,0.7489359000882203,0.7504093788273363,4.804467089251845,469,3,0.08379348593566828
40,681,0.4648375202540867,41.700020523560504,0.4472579524100723,7,8,8,0.40309236024000417,0.9319753285501355,4.447700630327041,672,4,0.08355545880400005
28,747,0.5142466719636732,49.75485281549593,0.32852523200847306,11,7,7,0.742392966851946,0.9438443607921911,5.947117073385636,438,5,0.08353998900697614
36,774,0.4289566203995462,49.213087581059355,0.5354702503624988,10,5,6,0.46020930985808867,0.7547339114608845,4.499323118391964,607,6,0.08378845556403053
31,735,0.4548952489686078,41.33827689950997,0.305466559503445,5,6,5,0.7653866384796462,0.7209994515997673,4.183044283533871,402,7,0.0839982977132263
34,667,0.31931809015947643,46.72468160555951,0.4243833896090458,11,11,5,0.7346183800553489,0.7692963499069952,7.281383468550544,321,8,0.08404230228282247
27,552,0.4625303439912249,48.845884481028,0.3627066820063364,5,11,5,0.41739292879270373,0.8037922393636003,5.086442744886883,653,9,0.08359678283022062
40,621,0.30239430378279253,44.566716939108076,0.5974039294904698,8,13,10,0.8857582545469906,0.8608455318533204,7.742620555333502,276,10,0.08389845503764141
36,723,0.37318986875142424,40.7717042713847,0.30763027914141733,7,9,5,0.7178538852416017,0.688206543822806,7.565934805572069,367,11,0.08396742754497852
25,709,0.3830237096658736,39.210905716373404,0.39451613553224885,8,10,6,0.8597488281230727,0.7057039289735373,7.125153533973697,346,12,0.08386557395871136
36,624,0.3904298937660023,43.709699912020305,0.518998468003515,9,8,6,0.6441761295557898,0.8614181739980042,5.562695980180404,535,13,0.08402073140581462
36,614,0.30994023511230956,44.058468857939474,0.5164668842790255,11,9,6,0.6382204257563306,0.8705350402895549,5.578344850591417,542,14,0.08412017333670783
35,597,0.30729661382233175,44.52026393706942,0.5519177678396875,11,11,6,0.6222544070343924,0.8466684246379421,6.832396206460798,522,15,0.08382699063922654
38,584,0.34653293408280095,46.29954189695374,0.4835660798623237,10,13,8,0.5801105476485119,0.8940897921409405,5.429245150293839,488,16,0.08368104782888194
29,653,0.3390881587208359,43.55610684554353,0.428088146020961,11,9,6,0.811339494384183,0.8072604177269926,6.332993266918617,592,17,0.08371123264825668
34,627,0.3238044309782606,46.53705101776242,0.5776433664086832,9,11,5,0.6959689720756748,0.9012747957479758,7.2492356665713,316,18,0.08368284244754212
38,578,0.5497495870373202,39.59502111098504,0.5292215144740636,9,10,7,0.5531170291929641,0.8302544528032871,5.721422052130707,451,19,0.08373873091775982
20,690,0.3643067595919687,48.046030780119295,0.5071690320317453,11,12,6,0.6801633987608419,0.7831656552565678,7.964364034772498,264,20,0.08386011196907843
37,614,0.39447189806616906,43.70716037131462,0.5009429028243196,9,8,6,0.6416563842725059,0.876930464428397,5.366797449806636,524,21,0.08387380361499298
